feed_ethanol_x,reflux_ratio,distillate_ethanol_x,bottoms_water_massfrac,condenser_duty_kW,reboiler_duty_kW
0.3,4.66667,0.792318,0.887448,2866.8,-3114.75
0.3,5.33333,0.795351,0.890957,3203.26,-3451.4
0.3,6.0,0.797895,0.893852,3539.7,-3788.01
0.3,6.66667,0.800061,0.896318,3876.12,-4124.59
0.3,7.33333,0.80194,0.898512,4212.53,-4461.12
0.308333,5.33333,0.795388,0.849019,3068.06,-3316.61
0.308333,6.0,0.797915,0.85164,3390.31,-3638.94
0.308333,6.66667,0.800116,0.853798,3712.51,-3961.23
0.308333,7.33333,0.80199,0.855769,4034.72,-4283.51
0.316667,6.66667,0.800054,0.81504,3553.56,-3803.54
0.316667,7.33333,0.801977,0.816752,3861.95,-4111.96
0.325,7.33333,0.801958,0.781006,3694.0,-3945.86
0.358333,2.0,0.768857,0.643894,1106.98,-1369.35
0.358333,8.0,0.803324,0.664502,3311.39,-3573.18
0.366667,2.0,0.769037,0.621396,1054.02,-1319.06
0.366667,2.66667,0.778298,0.626349,1287.23,-1552.12
0.366667,3.33333,0.784515,0.629721,1520.48,-1785.27
0.366667,4.0,0.789112,0.632341,1753.73,-2018.43
0.366667,6.0,0.79788,0.637052,2453.43,-2718.0
0.366667,6.66667,0.799909,0.638181,2686.64,-2951.17
0.366667,7.33333,0.801686,0.639163,2919.83,-3184.34
0.366667,8.0,0.803266,0.640035,3153.01,-3417.49
0.375,2.0,0.769253,0.6003,1002.41,-1270.12
0.375,2.66667,0.778444,0.60493,1224.21,-1491.76
0.375,3.33333,0.784557,0.607908,1446.05,-1713.51
0.375,4.0,0.789135,0.610211,1667.88,-1935.26
0.375,4.66667,0.792733,0.61212,1889.7,-2157.01
0.375,5.33333,0.795526,0.613443,2111.53,-2378.8
0.375,6.0,0.797856,0.614601,2333.35,-2600.58
0.375,6.66667,0.799939,0.615773,2555.13,-2822.32
0.375,7.33333,0.801612,0.616515,2776.93,-3044.11
0.375,8.0,0.803295,0.617474,2998.67,-3265.8
0.383333,2.0,0.769452,0.580629,952.111,-1222.43
0.383333,2.66667,0.778525,0.584714,1162.8,-1432.98
0.383333,3.33333,0.784712,0.587633,1373.5,-1643.57
0.383333,4.0,0.789245,0.589737,1584.21,-1854.2
0.383333,4.66667,0.792756,0.591369,1794.91,-2064.85
0.383333,5.33333,0.795588,0.592673,2005.6,-2275.5
0.383333,6.0,0.797857,0.593646,2216.3,-2486.17
0.383333,6.66667,0.799839,0.594559,2426.98,-2696.82
0.383333,7.33333,0.80156,0.59536,2637.65,-2907.46
0.383333,8.0,0.803086,0.596076,2848.31,-3118.09
0.391667,2.0,0.769577,0.562041,903.081,-1175.97
0.391667,2.66667,0.778766,0.565969,1102.91,-1375.64
0.391667,3.33333,0.78483,0.568477,1302.77,-1575.42
0.391667,4.0,0.789252,0.570331,1502.64,-1775.23
0.391667,4.66667,0.792731,0.571896,1702.5,-1975.03
0.391667,5.33333,0.795525,0.573087,1902.36,-2174.84
0.391667,6.0,0.797889,0.574109,2102.19,-2374.63
0.391667,6.66667,0.799866,0.574884,2302.02,-2574.44
0.391667,7.33333,0.801622,0.575696,2501.84,-2774.22
0.391667,8.0,0.803164,0.576352,2701.64,-2974.0
0.4,2.0,0.769796,0.544648,855.257,-1130.66
0.4,2.66667,0.778925,0.548251,1044.5,-1319.76
0.4,3.33333,0.78487,0.550549,1233.8,-1508.98
0.4,4.0,0.789192,0.552179,1423.1,-1698.22
0.4,4.66667,0.792617,0.553524,1612.39,-1887.46
0.4,5.33333,0.795511,0.554725,1801.65,-2076.67
0.4,6.0,0.79788,0.55562,1990.9,-2265.89
0.4,6.66667,0.799805,0.556417,2180.17,-2455.12
0.4,7.33333,0.801377,0.556996,2369.45,-2644.38
0.4,8.0,0.802886,0.557539,2558.68,-2833.6
0.408333,2.0,0.770138,0.528387,808.593,-1086.43
0.408333,2.66667,0.778985,0.531529,987.543,-1265.26
0.408333,3.33333,0.78501,0.533695,1166.51,-1444.14
0.408333,4.0,0.789398,0.53527,1345.47,-1623.05
0.408333,4.66667,0.792783,0.536484,1524.44,-1801.97
0.408333,5.33333,0.795569,0.537457,1703.39,-1980.89
0.408333,6.0,0.797645,0.538191,1882.38,-2159.85
0.408333,6.66667,0.799585,0.538844,2061.32,-2338.77
0.408333,7.33333,0.801471,0.539621,2240.21,-2517.63
0.408333,8.0,0.802793,0.540067,2419.17,-2696.57
0.416667,2.0,0.770193,0.512838,763.08,-1043.32
0.416667,2.66667,0.779026,0.515716,931.957,-1212.08
0.416667,3.33333,0.784962,0.517662,1100.85,-1380.91
0.416667,4.0,0.789313,0.519096,1269.76,-1549.75
0.416667,4.66667,0.792845,0.520329,1438.63,-1718.57
0.416667,5.33333,0.795516,0.521166,1607.52,-1887.44
0.416667,6.0,0.797623,0.52188,1776.43,-2056.32
0.416667,6.66667,0.799497,0.52245,1945.32,-2225.19
0.416667,7.33333,0.801385,0.523154,2114.14,-2393.97
0.416667,8.0,0.802707,0.523573,2283.03,-2562.85
0.425,2.0,0.770567,0.498355,718.629,-1001.18
0.425,2.66667,0.779349,0.500983,877.673,-1160.13
0.425,3.33333,0.785073,0.502651,1036.75,-1319.15
0.425,4.0,0.789411,0.503971,1195.82,-1478.17
0.425,4.66667,0.792771,0.505044,1354.89,-1637.18
0.425,5.33333,0.795403,0.505776,1513.95,-1796.23
0.425,6.0,0.797661,0.506527,1673.01,-1955.25
0.425,6.66667,0.799534,0.507031,1832.05,-2114.28
0.425,7.33333,0.801191,0.507592,1991.09,-2273.3
0.425,8.0,0.802691,0.508063,2150.11,-2432.3
0.433333,2.0,0.770673,0.484502,675.247,-960.074
0.433333,2.66667,0.779243,0.486832,824.707,-1109.45
0.433333,3.33333,0.785155,0.488498,974.17,-1258.84
0.433333,4.0,0.789551,0.489732,1123.63,-1408.25
0.433333,4.66667,0.792638,0.490532,1273.12,-1557.72
0.433333,5.33333,0.795504,0.491389,1422.56,-1707.12
0.433333,6.0,0.797505,0.491884,1572.04,-1856.59
0.433333,6.66667,0.799556,0.492478,1721.46,-2005.98
0.433333,7.33333,0.801225,0.492985,1870.9,-2155.4
0.433333,8.0,0.802455,0.493261,2020.37,-2304.87
0.441667,2.0,0.770785,0.4714,632.876,-919.914
0.441667,2.66667,0.779567,0.473648,772.941,-1059.89
0.441667,3.33333,0.785369,0.475095,913.029,-1199.92
0.441667,4.0,0.78938,0.476095,1053.15,-1340.01
0.441667,4.66667,0.792868,0.476998,1193.21,-1480.03
0.441667,5.33333,0.795234,0.477577,1333.34,-1620.14
0.441667,6.0,0.797663,0.478222,1473.39,-1760.16
0.441667,6.66667,0.79941,0.478677,1613.48,-1900.24
0.441667,7.33333,0.800849,0.479003,1753.58,-2040.33
0.441667,8.0,0.802391,0.479384,1893.62,-2180.35
0.45,2.0,0.770946,0.459003,591.479,-880.666
0.45,2.66667,0.779541,0.460966,722.392,-1011.51
0.45,3.33333,0.785235,0.462289,853.331,-1142.39
0.45,4.0,0.789657,0.463343,984.244,-1273.26
0.45,4.66667,0.792616,0.463992,1115.21,-1404.21
0.45,5.33333,0.795334,0.464622,1246.12,-1535.1
0.45,6.0,0.797432,0.46514,1377.06,-1666.01
0.45,6.66667,0.799145,0.465501,1508.0,-1796.94
0.45,7.33333,0.800931,0.465925,1638.88,-1927.8
0.45,8.0,0.802432,0.466318,1769.77,-2058.67
0.458333,2.0,0.771178,0.447251,551.02,-842.299
0.458333,2.66667,0.779756,0.449053,672.98,-964.19
0.458333,3.33333,0.785556,0.450293,794.952,-1086.11
0.458333,4.0,0.789424,0.451069,916.961,-1208.1
0.458333,4.66667,0.792845,0.451831,1038.92,-1330.03
0.458333,5.33333,0.795201,0.452313,1160.93,-1452.01
0.458333,6.0,0.797252,0.452715,1282.91,-1573.99
0.458333,6.66667,0.799304,0.453171,1404.85,-1695.9
0.458333,7.33333,0.800922,0.45355,1526.81,-1817.84
0.458333,8.0,0.802061,0.453737,1648.8,-1939.84
0.466667,2.0,0.771364,0.436067,511.477,-804.793
0.466667,2.66667,0.779812,0.437673,624.692,-917.948
0.466667,3.33333,0.785561,0.43878,737.914,-1031.13
0.466667,4.0,0.789714,0.439595,851.145,-1144.33
0.466667,4.66667,0.792636,0.440116,964.399,-1257.57
0.466667,5.33333,0.795371,0.440663,1077.61,-1370.75
0.466667,6.0,0.79745,0.441085,1190.84,-1483.96
0.466667,6.66667,0.798937,0.441337,1304.1,-1597.22
0.466667,7.33333,0.800565,0.441634,1417.3,-1710.41
0.466667,8.0,0.802146,0.441972,1530.48,-1823.58
0.475,2.0,0.771567,0.425426,472.813,-768.113
0.475,2.66667,0.779972,0.426878,577.472,-872.719
0.475,3.33333,0.785517,0.42783,682.15,-977.364
0.475,4.0,0.789719,0.428575,786.818,-1082.0
0.475,4.66667,0.792771,0.429114,891.503,-1186.67
0.475,5.33333,0.795042,0.429484,996.202,-1291.35
0.475,6.0,0.797169,0.429842,1100.87,-1396.01
0.475,6.66667,0.799201,0.430231,1205.5,-1500.63
0.475,7.33333,0.800515,0.430463,1310.2,-1605.31
0.475,8.0,0.801651,0.430624,1414.88,-1709.99
0.483333,2.0,0.771763,0.415287,435.002,-732.236
0.483333,2.66667,0.780074,0.416581,531.296,-828.484
0.483333,3.33333,0.785634,0.417451,627.603,-924.759
0.483333,4.0,0.78961,0.418067,723.916,-1021.05
0.483333,4.66667,0.792822,0.418588,820.218,-1117.33
0.483333,5.33333,0.795374,0.418993,916.518,-1213.62
0.483333,6.0,0.79704,0.419227,1012.86,-1309.95
0.483333,6.66667,0.798667,0.419479,1109.18,-1406.26
0.483333,7.33333,0.800378,0.41975,1205.45,-1502.52
0.483333,8.0,0.801879,0.42002,1301.72,-1598.78
0.491667,2.0,0.77195,0.405617,398.016,-697.135
0.491667,2.66667,0.780209,0.406773,486.125,-785.203
0.491667,3.33333,0.785672,0.407538,574.248,-873.3
0.491667,4.0,0.789576,0.408083,662.379,-961.413
0.491667,4.66667,0.792705,0.408527,750.499,-1049.51
0.491667,5.33333,0.79512,0.408861,838.623,-1137.63
0.491667,6.0,0.797255,0.409187,926.736,-1225.73
0.491667,6.66667,0.798643,0.409364,1014.89,-1313.87
0.491667,7.33333,0.800128,0.409563,1103.0,-1401.98
0.491667,8.0,0.801337,0.409728,1191.12,-1490.1
0.5,2.0,0.772141,0.396386,361.828,-662.784
0.5,2.66667,0.780324,0.39741,441.928,-742.85
0.5,3.33333,0.785751,0.39809,522.041,-822.939
0.5,4.0,0.789644,0.398577,602.16,-903.041
0.5,4.66667,0.792585,0.398942,682.281,-983.151
0.5,5.33333,0.795079,0.399262,762.39,-1063.25
0.5,6.0,0.797077,0.399512,842.501,-1143.35
0.5,6.66667,0.798718,0.399729,922.616,-1223.46
0.5,7.33333,0.799931,0.399865,1002.75,-1303.58
0.5,8.0,0.801148,0.400017,1082.86,-1383.69
